x,¼¤·¢,·¢Éä
685,98.33,2.141
686,97.772,2.039
687,97.1,1.941
688,96.311,1.845
689,95.396,1.753
690,94.328,1.665
691,93.047,1.579
692,91.383,1.497
693,89.044,1.419
694,86.017,1.344
695,82.699,1.272
696,79.37,1.204
697,76.111,1.14
698,72.913,1.08
699,69.762,1.023
700,66.653,0.971
701,63.584,0.923
702,60.554,0.879
703,57.566,0.841
704,54.621,0.806
705,51.726,0.777
706,48.888,0.754
707,46.116,0.736
708,43.427,0.724
709,40.838,0.718
710,38.363,0.719
711,36.02,0.727
712,33.821,0.742
713,31.774,0.763
714,29.882,0.793
715,28.138,0.83
716,26.532,0.875
717,25.047,0.929
718,23.663,0.992
719,22.358,1.065
720,21.116,1.148
721,19.922,1.243
722,18.765,1.351
723,17.634,1.472
724,16.52,1.609
725,15.408,1.764
726,14.283,1.939
727,13.117,2.137
728,11.891,2.36
729,10.629,2.611
730,9.396,2.89
731,8.276,3.198
732,7.318,3.535
733,6.517,3.899
734,5.837,4.286
735,5.234,4.691
736,4.683,5.103
737,4.172,5.509
738,3.69,5.915
739,3.23,6.367
740,2.786,6.908
741,2.353,7.564
742,1.926,8.348
743,1.524,9.259
744,1.185,10.29
745,0.922,11.43
746,0.728,12.668
747,0.586,13.993
748,0.48,15.392
749,0.4,16.849
750,0.339,18.351
751,0.289,19.89
752,0.25,21.457
753,0.217,23.049
754,0.19,24.661
755,0.168,26.289
756,0.149,27.93
757,0.134,29.58
758,0.121,31.237
759,0.111,32.898
760,0.102,34.56
761,0.095,36.217
762,0.089,37.867
763,0.084,39.502
764,0.08,41.113
765,0.076,42.694
766,0.074,44.238
767,0.071,45.737
768,0.068,47.185
769,0.066,48.571
770,0.063,49.889
771,0.059,51.142
772,0.056,52.348
773,0.051,53.528
774,0.045,54.642
775,0.039,55.634
776,0.03,56.451
777,0.02,57.046
778,0.008,57.376
779,0,57.405
780,0,57.125
781,0,56.578
782,0,55.822
783,0,54.912
784,0,53.892
785,0,52.8
786,0,51.66
787,0,50.492
788,0,49.309
789,0,48.115
790,0,46.911
791,0,45.696
792,0,44.47
793,0,43.23
794,0,41.977
795,0,40.708
796,0,39.422
797,0,38.115
798,0,36.786
799,0,35.428
800,0,34.036
801,0,32.599
802,0,31.105
803,0,29.553
804,0,27.956
805,0,26.337
806,0,24.733
807,0,23.188
808,0,21.739
809,0,20.407
810,0,19.198
811,0,18.106
812,0,17.113
813,0,16.199
814,0,15.346
815,0,14.542
816,0,13.781
817,0,13.057
818,0,12.364
819,0,11.699
820,0,11.061
821,0,10.445
822,0,9.852
823,0,9.279
824,0,8.725
825,0,8.19
826,0,7.673
827,0,7.175
828,0,6.697
829,0,6.239
830,0,5.802
831,0,5.388
832,0,4.995
833,0,4.625
834,0,4.278
835,0,3.953
836,0,3.652
837,0,3.373
838,0,3.116
839,0,2.88
840,0,2.664
841,0,2.466
842,0,2.284
843,0,2.117
844,0,1.962
845,0,1.818
846,0,1.684
847,0,1.556
848,0,1.433
849,0,1.312
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
