x,¼¤·¢,·¢Éä
652,0,44.716
653,0,44.348
654,0,43.898
655,0,43.372
656,0,42.772
657,0,42.102
658,0,41.368
659,0,40.578
660,0,39.74
661,0,38.86
662,0,37.946
663,0,37.006
664,0,36.048
665,0,35.08
666,0,34.106
667,0,33.136
668,0,32.176
669,0,31.234
670,0,30.314
671,0,29.422
672,0,28.564
673,0,27.744
674,0,26.962
675,0,26.214
676,0,25.498
677,0,24.814
678,0,24.158
679,0,23.528
680,0,22.926
681,0,22.35
682,0,21.798
683,0,21.27
684,0,20.764
685,0,20.282
686,0,19.82
687,0,19.382
688,0,18.964
689,0,18.566
690,0,18.188
691,0,17.83
692,0,17.49
693,0,17.168
694,0,16.864
695,0,16.576
696,0,16.302
697,0,16.042
698,0,15.798
699,0,15.564
700,0,15.34
701,0,15.126
702,0,14.918
703,0,14.718
704,0,14.522
705,0,14.33
706,0,14.14
707,0,13.952
708,0,13.762
709,0,13.572
710,0,13.378
711,0,13.182
712,0,12.982
713,0,12.78
714,0,12.576
715,0,12.372
716,0,12.168
717,0,11.964
718,0,11.764
719,0,11.564
720,0,11.368
721,0,11.178
722,0,10.992
723,0,10.81
724,0,10.638
725,0,10.472
726,0,10.314
727,0,10.164
728,0,10.018
729,0,9.878
730,0,9.744
731,0,9.614
732,0,9.486
733,0,9.362
734,0,9.24
735,0,9.118
736,0,8.996
737,0,8.876
738,0,8.752
739,0,8.63
740,0,8.504
741,0,8.378
742,0,8.252
743,0,8.124
744,0,7.994
745,0,7.862
746,0,7.73
747,0,7.596
748,0,7.458
749,0,7.32
750,0,7.18
751,0,7.038
752,0,6.894
753,0,6.748
754,0,6.602
755,0,6.456
756,0,6.312
757,0,6.168
758,0,6.028
759,0,5.892
760,0,5.76
761,0,5.632
762,0,5.51
763,0,5.394
764,0,5.284
765,0,5.182
766,0,5.088
767,0,5
768,0,4.918
769,0,4.842
770,0,4.772
771,0,4.708
772,0,4.65
773,0,4.6
774,0,4.552
775,0,4.512
776,0,4.478
777,0,4.448
778,0,4.424
779,0,4.406
780,0,4.392
781,0,4.384
782,0,4.378
783,0,4.376
784,0,4.378
785,0,4.384
786,0,4.39
787,0,4.4
788,0,4.41
789,0,4.422
790,0,4.434
791,0,4.444
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
