Wavelength,Alexa647,Alexa700,APC,FITC,PacificBlue,PE,PE_Cy7,Percp_Cy5_5,BV510,PE_Dazzle,BV605,APC_Cy7,BV421,Alexa488,DAPI,eFluor780,SB436,SB702
341,0,0,0,12.30855,12.26809,5.26147889,0,0,57.268,0,19.234,13.446,16.038,14.06608,90.0640318,2.295850265,18.13490727,15.10544604
342,0,0,0,12.22577,12.87987,5.46498581,0,0,56.382,0,19.881,13.458,16.637,13.98931,91.17686023,2.324523675,18.54096034,15.57252601
343,0,0,0,11.92127,13.82143,5.638791719,0,0,55.725,0,20.552,13.452,17.253,13.68007,91.9673217,2.494586658,18.80541176,16.06426147
344,0,0,0,11.5955,14.28061,5.826898115,0,0,55.271,0,21.236,13.429,17.884,13.47929,92.85493486,2.593460485,19.10672947,16.58393202
345,0,0,0,11.38288,15.07375,5.978703276,0,0,55.001,0,21.925,13.39,18.528,13.06788,93.71605211,2.576651934,19.58030022,17.08326577
346,0,0,0,11.22265,15.72774,6.204210943,0,0,54.896,0,22.61,13.338,19.184,12.65845,94.47560168,2.608291559,20.35250579,17.64937872
347,0,0,0,10.98042,16.5167,6.392317339,0,0,54.941,0,23.277,13.274,19.852,12.20374,95.10708766,2.6765145,20.77525374,18.281471
348,0,0,0,10.91131,17.20269,6.541922425,0,0,55.123,0,23.908,13.199,20.531,11.76281,95.85780526,2.778354542,21.25346331,18.94178639
349,0,0,0,10.69869,18.38544,6.728928784,0,0,55.429,0,24.468,13.115,21.221,11.2392,96.48929123,2.878217107,21.91086597,19.53068137
350,0,0,0,10.5696,18.93275,6.93793589,0,19.5920853,55.845,0,24.875,13.023,21.934,10.85359,97.0942813,2.906890517,21.67382242,20.19991293
351,0,0,0,10.44051,19.98098,7.104041537,0,19.6951819,56.353,0,24.954,12.923,22.681,10.24908,97.54029587,3.107604386,24.00495765,20.87735313
352,0,0,0,10.60073,21.2333,7.244846325,0,19.8360498,56.941,0,25.208,12.817,23.476,9.810119,97.98631044,2.925676544,24.704509,21.71079908
353,0,0,0,10.41849,22.11967,7.426352496,0,20.1050145,57.598,0,26.1,12.705,24.325,9.343599,98.48531685,2.964237337,24.76916016,22.43374635
354,0,0,0,10.38735,23.26484,7.546146569,0,20.2615773,58.315,0,27.338,12.588,25.237,8.841844,98.7811879,3.070032332,24.48370548,23.13034039
355,0,0,0,10.47164,24.50325,7.755153675,0,20.562577,59.085,0,28.746,12.467,26.213,8.349538,99.17862663,3.113536816,25.76522451,23.81643981
356,0,0,0,10.31901,25.66744,7.871867643,0,20.9285926,59.901,0,30.25,12.342,27.256,7.983409,99.48774564,3.074976023,27.49904446,24.72947186
357,0,0,0,10.31217,26.65074,8.068774338,0,21.394712,60.758,0,31.814,12.214,28.364,7.528699,99.74828881,3.216365596,27.53470655,25.51488809
358,0,0,0,10.31901,27.95872,8.187578378,0,22.0115033,61.652,0,33.421,12.083,29.535,7.192293,99.92934423,3.060144949,28.20583365,26.38833383
359,0,0,0,9.992482,29.28525,8.344883726,0,22.5883907,62.577,0,35.056,11.949,30.766,6.883248,100,3.01960668,28.92317177,27.23390166
360,0,0,0,9.833776,30.57514,8.46588784,0,23.1625261,63.531,0,36.713,11.812,32.052,6.582078,99.82336057,3.069043593,30.6487072,28.17429696
361,0,0,0,9.924899,32.05891,8.614392889,0,23.8095893,64.51,0,38.384,11.674,33.388,6.333858,99.56723338,3.086840882,31.65586247,29.2421624
362,0,0,0,9.787454,33.20037,8.765098013,0,24.4160607,65.511,0,40.067,11.533,34.767,6.113392,99.27577832,3.01367425,32.43407929,30.32386444
363,0,0,0,9.438906,34.71707,8.875101753,0,25.1697638,66.531,0,41.759,11.391,36.184,5.908675,98.74144403,3.135289058,32.55710706,31.36449229
364,0,0,0,9.651527,36.1962,8.984005456,0,25.905923,67.568,0,43.459,11.248,37.634,5.729548,98.02163833,3.176816065,34.68572139,32.50451785
365,0,0,0,9.400937,37.718,9.097309309,0,26.5842902,68.62,0,45.164,11.103,39.116,5.517153,97.16935306,3.195602092,35.79283993,33.60301208
366,0,0,0,9.460927,39.4615,9.171011814,0,27.3304254,69.684,0,46.875,10.956,40.627,5.338025,96.14926032,3.373574981,36.57258904,34.72229686
367,0,0,0,9.430552,41.01577,9.27441533,0,27.9444647,70.758,0,48.591,10.809,42.166,5.168542,94.85537646,3.360721383,37.22968134,35.87066757
368,0,0,0,9.256658,42.76438,9.360218247,0,28.5082801,71.841,0,50.309,10.661,43.733,5.074058,93.72046809,3.405214606,39.14017924,36.99331511
369,0,0,0,9.271845,44.4847,9.387719182,0,29.1587833,72.93,0,52.031,10.512,45.326,4.936267,92.13512917,3.389394793,39.76453421,38.26897487
370,0,0,0,9.316648,46.40538,9.43942094,0,29.8402466,74.024,0,53.754,10.362,46.947,4.806547,90.73084566,3.349845262,40.51489578,39.4766352
371,0,0,0,9.07441,48.29731,9.491122698,0,30.4800859,75.122,0,55.48,10.212,48.596,4.761272,89.12784279,3.287554751,42.23058504,40.77118399
372,0,0,0,8.876975,50.33395,9.46912195,0,31.1474451,76.221,0,57.207,10.061,50.276,4.599861,87.35261647,3.247016482,43.55010188,42.12071229
373,0,0,0,8.854195,52.34694,9.49442281,0,31.8430123,77.32,0,58.934,9.91,51.989,4.436284,85.45374255,3.074976023,44.97572607,43.52440161
374,0,0,0,8.512481,54.11364,9.492222736,0,32.5822675,78.418,0,60.662,9.758,53.739,4.395144,83.77125193,2.932597712,45.82051082,44.99353792
375,0,0,0,8.125204,56.18228,9.482322399,0,33.2004348,79.513,0,62.39,9.606,55.534,4.28688,81.75756238,2.757591038,47.86878246,46.5366677
376,0,0,0,8.223922,58.42765,9.481222362,0,34.0232819,80.603,0,64.117,9.453,57.382,4.196134,79.82336057,2.562809599,49.53659977,48.04026754
377,0,0,0,7.92777,60.36642,9.458121576,0,34.7762971,81.688,0,65.842,9.301,59.29,4.068383,77.6551115,2.370994374,50.50943976,49.66293832
378,0,0,0,7.563274,62.30056,9.451521352,0,35.5300002,82.765,0,67.565,9.148,61.265,3.962087,75.55751822,2.259266949,52.06700677,51.32752074
379,0,0,0,7.554921,64.96754,9.407519856,0,36.2544634,83.833,0,69.284,8.994,63.309,3.879412,73.23029366,2.071406678,53.53852322,53.07159257
380,0,0,0,7.153217,66.51624,9.405319781,0,36.8925827,84.891,0,70.999,8.841,65.424,3.849689,71.1547803,2.028890932,56.11784233,54.87611613
381,0,0,0,7.008178,68.73377,9.337117462,0,37.53311,85.936,0,72.707,8.688,67.598,3.682569,68.71274012,1.855861735,58.12063647,56.73478491
382,0,0,0,6.955022,71.30334,9.281015555,0,37.9875335,86.968,0,74.405,8.534,69.801,3.649105,66.16030029,1.775773935,59.51101797,58.62485091
383,0,0,0,7.039312,73.22774,9.16001144,0,38.4784209,87.985,0,76.089,8.38,71.963,3.607571,63.55928461,1.739190619,61.10981701,60.57261645
384,0,0,0,6.727973,75.76948,9.147911029,0,38.9920123,88.984,0,77.751,8.227,73.969,3.426672,60.54316626,1.660091557,62.87539329,62.55301142
385,0,0,0,6.917054,77.55056,9.100609421,0,39.4096279,89.965,0,79.38,8.073,75.732,3.436317,57.01479355,1.632406886,64.27500024,64.53124079
386,0,0,0,6.719619,79.37848,8.946604185,0,39.8213954,90.925,0,80.951,7.92,77.209,3.326282,53.98984323,1.629440671,66.979859,66.49140225
387,0,0,0,6.560153,81.44202,8.863001342,0,40.3002429,91.861,0,82.415,7.766,78.404,3.296755,50.95164495,1.591868616,68.49146663,68.39484342
388,0,0,0,6.537372,83.29778,8.728796779,0,40.6782984,92.773,0,83.632,7.613,79.355,3.26526,47.77655112,1.637350577,70.12759985,70.26460947
389,0,0,0,6.295135,85.20361,8.591292104,0,41.1378819,93.657,0,84.268,7.46,80.117,3.119398,44.65003312,1.607688429,71.82519988,72.02961731
390,0,0,0,6.271595,86.93831,8.454887466,0,41.5620334,94.512,0,84.513,7.307,80.754,3.083967,41.5009936,1.622519503,73.21935061,73.68519319
391,0,0,0,6.180471,88.59415,8.297582118,0,42.0381289,95.333,0,84.912,7.155,81.325,3.046763,38.39258114,1.700629826,74.99351852,75.24337569
392,0,0,0,5.975442,90.0552,8.121576134,0,42.4698484,96.12,0,85.414,7.003,81.874,2.942239,35.22190329,1.739190619,76.61009921,76.66470549
393,0,0,0,5.900265,91.56308,7.922469364,0,42.878864,96.867,0,85.99,6.851,82.437,2.889091,32.2499448,1.730291974,77.48973423,77.97400291
394,0,0,0,5.680049,92.80149,7.755153675,0,43.4481833,97.573,0,86.632,6.699,83.051,2.826101,29.33097814,1.808402298,78.72000823,79.11994076
395,0,0,0,5.581332,94.077,7.52205575,0,44.0171587,98.233,0,87.344,6.548,83.767,2.810551,26.51799514,1.799503653,79.57512846,80.12494563
396,0,0,0,5.6193,95.25928,7.310848569,0,44.4884382,98.842,0,88.137,6.398,84.669,2.741656,23.9699713,1.850918043,80.40693442,81.07900914
397,0,0,0,5.413512,96.36364,7.087540976,0,45.0632615,99.396,0,89.038,6.248,85.833,2.73949,21.55442703,1.891456313,81.1727848,81.94111303
398,0,0,0,5.246452,97.34647,6.837832486,0,45.6838368,99.889,0,90.086,6.099,87.289,2.670595,19.26253036,1.956713038,82.34395565,82.78294388
399,0,0,0,5.156087,98.13497,6.572723473,0,46.404172,100.316,0,91.3,5.951,89.005,2.64717,17.1251932,1.976487804,82.92125611,83.64100539
400,0,4.605289,0,5.171275,98.74258,6.346115768,0,47.3776909,100.669,0,92.669,5.804,90.853,2.597762,15.23515125,2.011093643,83.85261616,84.50469355
401,0,4.526377,0,5.094579,99.41095,6.082106792,0,48.4513137,100.94,0,94.134,5.658,92.659,2.583984,13.42901303,1.982420234,84.23789011,85.48502674
402,0,4.443156,0,5.156087,99.7398,5.786196731,0,49.5287205,101.118,7.005,95.597,5.513,94.384,2.570204,11.88341797,2.005161214,85.50259964,86.57954265
403,0,4.391951,0,5.011049,99.90677,5.512287418,0,50.5018954,101.194,6.743,96.964,5.37,96.02,2.572173,10.35990285,2.028890932,86.73745187,87.71395318
404,0,4.292311,0,5.011049,99.99536,5.242778254,0,51.785358,101.153,6.47,98.179,5.228,97.545,2.542646,9.043939059,2.050643174,87.96716664,88.98954442
405,0,4.20519,0,5.049017,99.87013,4.976569203,0,53.1723645,100.978,6.2,99.202,5.088,98.882,2.540875,7.904614705,2.067451725,89.14425603,90.35652295
406,0,4.11181,0,5.269992,99.50372,4.689459442,0,54.461331,100.655,5.935,99.976,4.95,99.815,2.519222,6.888937955,2.056575604,90.69211293,91.80615573
407,0,4.029615,0,5.080151,98.97449,4.456251513,0,55.9536013,100.174,5.675,100.415,4.814,100.132,2.536741,5.935085008,2.043722006,92.04520127,93.3385787
408,0,3.93018,0,5.125713,98.24165,4.185642312,0,57.3168718,99.524,5.422,100.372,4.682,99.764,2.55052,5.065135792,2.048665698,93.53292047,94.85607388
409,0,3.850038,0,5.003455,97.10575,3.946934196,0,58.5483904,98.695,5.177,99.551,4.552,98.74,2.574338,4.44689777,2.076350369,95.40822699,96.31209962
410,0,3.767021,0,5.026996,95.82977,3.731326865,0,59.807773,97.675,4.942,97.57,4.425,97.041,2.643234,3.850739678,2.102057564,96.99595887,97.64697734
