Wavelength,Alexa647,Alexa700,APC,FITC,PacificBlue,PE,PE_Cy7,Percp_Cy5_5,BV510,PE_Dazzle,BV605,APC_Cy7,BV421,Alexa488,DAPI,eFluor780,SB436,SB702
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3099814,0,0,0
376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3761108,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4387959,0,0,0
378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4436179,0,0,0
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4436179,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4753048,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6085968,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6726596,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7604877,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8872357,0,0,0.104947726
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.077358,0,0,0.092226498
386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26748,0,0,0.090032
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489288,0,0,0.093852777
388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.711097,0,0,0.102057572
389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.154715,0,0,0.111216481
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.534959,0,0,0.115400385
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.010264,0,0,0.124374162
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.612317,0,0,0.147485352
393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.214369,0,0,0.172781579
394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.196666,0,0,0.198993693
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.955087,0,0,0.22735508
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.989391,0,0,0.256968721
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.211752,0,0,0.293763733
398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.330441,0,0,0.349694797
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29138,0,0,0.415414372
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81029,0,0.488827943,0.502727004
401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.05848,0,0.547221513,0.612901844
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49921,0,0.649338422,0.76228799
403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12385,0,0.729433496,0.951782459
404,0,0,0,0,0,0,0,0,0,0,0,0,0.695,0,18.02439,0,0.879415026,1.19420914
405,0,0,0,0,0,0,0,0,0,0,0,0,4.372,0,19.83295,0,1.139880895,1.477613353
406,0,0,0,0,0,0,0,0,0,0,0,0,10.735,0,21.67218,0,1.435074673,1.861884228
407,0,0,0,0,0,0,0,0,0,0,0,0,15.103,0,23.9712,0,1.751472142,2.33521722
408,0,0,0,0,0,0,0,0,0,0,0,0,16.195,0,25.7629,0,2.217969888,2.938657291
409,0,0,0,0,0,0,0,0,0,0,0,0,18.136,0,27.85424,0,2.716312397,3.655855344
410,0,0,0,0,2.38872,0,0,0,0,0,0,0,23.912,0,29.88496,0,3.525763636,4.534187329
411,0,0,0,0,1.70243,0,0,0,0,0,1.42,0,30.607,0,31.34325,0,4.837002688,5.560829357
412,0,0,0,0,1.179118,0,0,0,0,0.127,6.106,0,37.69,0,33.74044,0,5.896544172,6.89417879
413,0,0,0,0,1.135669,0,0,0,0,0.278,7.478,0,44.964,0,35.68919,0,7.703638537,8.474346497
414,0,0,0,0,1.354881,0,0,0,0,0.429,7.96,0,52.356,0,37.63519,0,9.459474227,10.29522943
415,0,0,0,0,1.671688,0,0,0,0,0.579,8.052,0,59.828,0,39.88427,0,12.41910233,12.31578264
416,0,0,0,0,2.066981,0,0,0,0,0.729,7.992,0,67.36,0,41.86127,0,15.68205159,14.63623023
417,0,0,0,0,2.537917,0,0,0,0,0.878,7.95,0,74.934,0,44.49955,0,19.83855456,17.20919626
418,0,0,0,0,3.127764,0,0,0,0,1.027,8.104,0,82.538,0,46.20789,0,24.25549075,20.07371615
419,0,0,0,0,3.813338,0,0,0,0.033,1.176,8.724,0,90.151,0,48.60853,0,29.00802627,23.07139253
420,0,0,0,0,4.62184,0,0,0,0.342,1.324,10.28,0,97.723,0,50.91616,0,35.97299144,26.16892225
