Wavelength,Alexa Fluor 647,Alexa Fluor 647,Alexa Fluor 700,Alexa Fluor 700,APC ,APC ,FITC,FITC,Pacific Blue,Pacific Blue,"PE (R-PE, R-phycoerythrin)","PE (R-PE, R-phycoerythrin)",PE-Cy7,PE-Cy7,PerCP-Cy5.5,PerCP-Cy5.5
Wavelength,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission
365,0,0,0,0,0,0,9.400937,0,37.718,0,9.097309309,0,0,0,26.5842902,0
366,0,0,0,0,0,0,9.460927,0,39.4615,0,9.171011814,0,0,0,27.3304254,0
367,0,0,0,0,0,0,9.430552,0,41.01577,0,9.27441533,0,0,0,27.9444647,0
368,0,0,0,0,0,0,9.256658,0,42.76438,0,9.360218247,0,0,0,28.5082801,0
369,0,0,0,0,0,0,9.271845,0,44.4847,0,9.387719182,0,0,0,29.1587833,0
370,0,0,0,0,0,0,9.316648,0,46.40538,0,9.43942094,0,0,0,29.8402466,0
371,0,0,0,0,0,0,9.07441,0,48.29731,0,9.491122698,0,0,0,30.4800859,0
372,0,0,0,0,0,0,8.876975,0,50.33395,0,9.46912195,0,0,0,31.1474451,0
373,0,0,0,0,0,0,8.854195,0,52.34694,0,9.49442281,0,0,0,31.8430123,0
374,0,0,0,0,0,0,8.512481,0,54.11364,0,9.492222736,0,0,0,32.5822675,0
375,0,0,0,0,0,0,8.125204,0,56.18228,0,9.482322399,0,0,0,33.2004348,0
376,0,0,0,0,0,0,8.223922,0,58.42765,0,9.481222362,0,0,0,34.0232819,0
377,0,0,0,0,0,0,7.92777,0,60.36642,0,9.458121576,0,0,0,34.7762971,0
378,0,0,0,0,0,0,7.563274,0,62.30056,0,9.451521352,0,0,0,35.5300002,0
379,0,0,0,0,0,0,7.554921,0,64.96754,0,9.407519856,0,0,0,36.2544634,0
380,0,0,0,0,0,0,7.153217,0,66.51624,0,9.405319781,0,0,0,36.8925827,0
381,0,0,0,0,0,0,7.008178,0,68.73377,0,9.337117462,0,0,0,37.53311,0
382,0,0,0,0,0,0,6.955022,0,71.30334,0,9.281015555,0,0,0,37.9875335,0
383,0,0,0,0,0,0,7.039312,0,73.22774,0,9.16001144,0,0,0,38.4784209,0
384,0,0,0,0,0,0,6.727973,0,75.76948,0,9.147911029,0,0,0,38.9920123,0
